id,client_id,title,message,type,link_content_id,link_script_id,read,created_at
3b6f83f4-fe6f-4132-8ad8-92687120724c,bdd16c8c-8cab-4493-9236-e331435f4cb4,💬 Nova mensagem da equipe,"Thiago comentou em ""Poltrona""",comment,,,f,2026-03-14 21:59:20.886542+00
3386a403-bfe5-4330-be8c-9b1e13cec479,57427a15-1a98-45d0-83a6-420855174c16,🎬 Novo vídeo para aprovação,"""teste"" está pronto para sua análise e aprovação.",video_approval,,,f,2026-03-14 23:37:03.354527+00
6bf6e751-9895-4955-bd25-0e420f2008ed,57427a15-1a98-45d0-83a6-420855174c16,🎬 Novo vídeo para aprovação,"""teste"" está pronto para sua análise e aprovação.",video_approval,,,f,2026-03-16 17:37:37.480261+00
9e64f13b-d8c2-48fc-83d4-bcd94cf47c76,812c0c1b-d270-455e-8266-58ffcb218750,📝 Novo roteiro criado,"O roteiro ""Institucional - Pulse"" foi criado. Confira na Zona Criativa!",new_script,,92fc6642-1414-4f92-9559-5365762d790b,f,2026-03-16 23:05:34.950412+00
125cf8e4-01eb-45c8-bc9d-2d0bb6f7c0c4,57427a15-1a98-45d0-83a6-420855174c16,📝 Novo roteiro criado,"O roteiro ""teste"" foi criado. Confira na Zona Criativa!",new_script,,,f,2026-03-14 23:31:19.330218+00
2600bcbf-231e-48b4-b2cf-51f85271600b,812c0c1b-d270-455e-8266-58ffcb218750,📝 Novo roteiro criado,"O roteiro ""Institucional - Pulse"" foi criado. Confira na Zona Criativa!",new_script,,4bcb711d-9c29-4a9a-9605-1405a6be7f14,t,2026-03-17 01:23:38.134896+00
45a252a9-0572-469f-9d20-20f8206fdab9,812c0c1b-d270-455e-8266-58ffcb218750,📝 Novo roteiro criado,"O roteiro ""Vendas - Pulse"" foi criado. Confira na Zona Criativa!",new_script,,b8f10db2-6546-41e5-85c4-b1d8d8ef29ec,f,2026-03-17 12:39:53.178166+00
19012a0f-4781-428f-9fea-04b79419157c,812c0c1b-d270-455e-8266-58ffcb218750,🎬 Novo vídeo para aprovação,"""Institucional - Pulse"" está pronto para sua análise e aprovação.",video_approval,,,f,2026-03-17 15:32:47.431137+00
210b0ad8-0922-452f-be5e-cfc879f53101,812c0c1b-d270-455e-8266-58ffcb218750,📝 Novo roteiro criado,"O roteiro ""teste"" foi criado. Confira na Zona Criativa!",new_script,,ca32460a-0172-4d14-b6b5-bc87ff9fffaf,f,2026-03-17 19:43:44.975525+00
a637fa6e-7018-4a09-bcb5-c9f4e2b6213a,812c0c1b-d270-455e-8266-58ffcb218750,📝 Novo roteiro criado,"O roteiro ""PULSE TESTE"" foi criado. Confira na Zona Criativa!",new_script,,2c6a4e68-bc19-434c-a649-71fb41fa98b9,f,2026-03-17 20:25:42.527724+00
ae951ad2-9fad-468a-bbf0-013bbaa27987,812c0c1b-d270-455e-8266-58ffcb218750,📝 Novo roteiro criado,"O roteiro ""BORA SITEMA"" foi criado. Confira na Zona Criativa!",new_script,,ddd19de4-48a5-430b-aab3-d2ccc965392f,f,2026-03-17 21:04:25.875682+00
c08ac4bd-922a-4c93-b395-eb19a155e07b,812c0c1b-d270-455e-8266-58ffcb218750,💬 Nova mensagem da equipe,"Rayssa comentou em ""teste""",comment,,,f,2026-03-17 21:39:13.453918+00
8b2b7ccc-9114-4b7d-b26b-4af3789fcac8,bdd16c8c-8cab-4493-9236-e331435f4cb4,💬 Nova mensagem da equipe,"Thiago comentou em ""TESTEEEEEEE""",comment,,,f,2026-03-18 17:50:50.174945+00
e3ec9e1c-0292-418e-9f38-31dde3548b11,7f875e87-3890-43d7-86fe-eec22f7d2554,📝 Novo roteiro criado,"O roteiro ""Vendas - DrºMessias "" foi criado. Confira na Zona Criativa!",new_script,,3192c046-dcb2-45c6-8320-23f91a0e1f59,f,2026-03-18 17:53:18.48957+00
33adf851-4769-4c03-bc69-ceed96776722,7f875e87-3890-43d7-86fe-eec22f7d2554,📝 Novo roteiro criado,"O roteiro ""Depoimento - DrºMessias "" foi criado. Confira na Zona Criativa!",new_script,,912caad6-e8ba-4e46-bedd-816b882d0235,f,2026-03-18 17:57:25.680821+00
